OccupationTitle,Description,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
"Tax Examiners and Collectors, and Revenue Agents","Tax examiners, collectors, and revenue agents determine tax liability and collect taxes from businesses, companies, or individuals per laws and regulations. They maintain records of each case, assist and answer taxpayer questions, and discuss problems with returns.",Business and Financial Operations,67970,50130,7.3,Bachelor's degree,None,Moderate-term on-the-job training
Technical Writers,"Writers in this field compose technical materials such as equipment manuals, appendices, or operating and maintenance instructions. They make edits, select photos, diagrams, or charts to illustrate material, and  assist in laying out elements for publication.","Arts, Design, Entertainment, Sports, and Media",45120,64610,17.2,Bachelor's degree,1 to 5 years,Short-term on-the-job training
"Telecommunications Equipment Repairers, Except Line Installers","Workers in this field service or repair communications equipment for customers, such as cable television, telephone and Internet. They also install or remove switching, distribution, routing, and dialing equipment used in central offices or master facilities. ","Installation, Maintenance, and Repair",199240,53960,14.6,Postsecondary non-degree award,None,Moderate-term on-the-job training
Telecommunications Line Installers and Repairers,"Workers in this field install, maintain, and repair lines or cables for customers. They set up services and inspect or analyze lines and cables to locate faults. They also install equipment to uphold the strength of communications transmissions.","Installation, Maintenance, and Repair",148930,51720,13.6,High school diploma or equivalent,None,Long-term on-the-job training
"Therapists, All Other*","Therapists counsel individuals or groups regarding psychological or emotional problems such as stress, substance abuse, or family situations. They develop and implement therapeutic treatment plans. They can work in a residential or business setting. ",Healthcare Practitioners and Technical Occupations,15720,49120,27.9,Master's degree,None,None
Tire Builders,Tire builders possess the trade knowledge and skills necessary to operate machinery that forms automotive tires out of rubber. They work with equipment such as molds and rollers and create tires based on blueprint specifications. ,Production,16690,40760,-5.7,High school diploma or equivalent,None,Moderate-term on-the-job training
"Title Examiners, Abstractors, and Searchers","Workers in this field require an organized and analytical mindset to examine documents in a variety of environments. They may summarize legal data at law firms, examine mortgages at real estate agencies, or prepare property title reports at insurance companies.",Legal,49760,40760,-1.4,High school diploma or equivalent,None,Short-term on-the-job training
Tool and Die Makers,"Tool and die makers operate machines to make tools based on blueprints and specification plans. They verify dimensions, conduct test runs, assemble and repair tools and parts, and select metals—all in accordance to quality standards.",Production,70320,46650,-2.3,High school diploma or equivalent,None,Long-term on-the-job training
Training and Development Managers,"Managers in this field plan, direct, and coordinate all training and developmental exercises for an organization. Managers may conduct orientation sessions for new staff, develop and analyze employee surveys, or evaluate and improve existing training programs.",Management,27150,91740,14.6,Bachelor's degree,1 to 5 years,None
Training and Development Specialists,Training and development specialists create programs to improve an organization and work with staff to improve their job skills. They analyze work procedures to come up with alternative methods of training if the expected improvements are not seen.,Business and Financial Operations,205680,55150,28.3,Bachelor's degree,None,None
Transportation Inspectors,"Transportation inspectors examine equipment and goods to ensure the safe transport of people or cargo. This includes inspectors of all transportation vehicles, such as freight and rail inspectors. ",Transportation and Material Moving,24810,62230,14.4,"Some college, no degree",None,Short-term on-the-job training
"Transportation, Storage, and Distribution Managers","Workers in this field work with logistics managers to coordinate transportation, storage and distribution with organizational policies and applicable government laws and regulations. They hire, train, and supervise warehouse personnel.",Management,92150,80860,10,High school diploma or equivalent,More than 5 years,None
Urban and Regional Planners,"Planners in this field develop comprehensive plans for use of land and physical facilities of cities, counties, and metropolitan areas. They hold public meetings to formulate community plans and conduct research to gather data to support proposals.","Life, Physical, and Social Science",38320,64100,16.2,Master's degree,None,None
Veterinarians,"Veterinarians care for animals in a variety of ways; they diagnose, treat, and research medical conditions and diseases for pets, livestock, and animals in zoos, racetracks, and laboratories. They prescribe medications, set bones, dress wounds, and perform surgery.",Healthcare Practitioners and Technical Occupations,55410,82900,35.9,Doctoral or professional degree,None,None
"Vocational Education Teachers, Postsecondary","Teachers in this field instruct vocational or occupational subjects. This includes industrial and commercial instructors, adult education teachers, or instructors who prepare others to operate industrial, transportation, or communication equipment.","Education, Training, and Library",125160,48790,17.4,Doctoral or professional degree,None,None
Water and Waste Treatment Plant/ System Operators,"Operators in this field work to control, inspect, and operate water treatment facilities and machines. They maintain and repair equipment, record data, add chemicals to water and other liquids, and direct plant workers in routine operations and maintenance activities.",Production,109190,41780,11.6,High school diploma or equivalent,None,Long-term on-the-job training
Wellhead Pumpers,"Wellhead pumpers operate control panels and power pumps to ensure that materials are being pumped correctly. They repair equipment such as pumps, hoses, gas and oil meters, and gauges. They check the pressure of various valves to determine correct oil flow.",Transportation and Material Moving,13190,41320,4.6,Less than high school,Less than 1 year,Moderate-term on-the-job training
"Wholesale and Retail Buyers, Except Farm Products","Workers in this field purchase both durable and non-durable goods for resale to consumers at the wholesale and retail level. They also analyze buying and sales trends to determine product price, quality of merchandise, and current value of goods.",Business and Financial Operations,105610,50490,9,High school diploma or equivalent,None,Long-term on-the-job training
Writers and Authors,"Writers and authors concept and create written content such as advertisements, scripts, and stories. This may also include copywriters, poets, lyricists, and other creative writers.","Arts, Design, Entertainment, Sports, and Media",40930,55870,6.5,Bachelor's degree,None,Long-term on-the-job training
Zoologists and Wildlife Biologists,"Zoologists and wildlife biologists study the behavior, lifestyle, genetics, origin and life-cycle of wildlife and animals in their natural habitat. Some specialize in areas such as wildlife, conservation management, or aquatic biology.","Life, Physical, and Social Science",18380,57420,7.4,Bachelor's degree,None,None
