OccupationTitle,Description,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
Conservation Scientists,"Conservation scientists improve, manage, and protect our natural resources; they conduct soil surveys and develop plans to eliminate soil erosion. They also instruct farmers on best practices for crop rotation, plowing, and terracing to conserve water and soil.","Life, Physical, and Social Science",18910,59530,5.2,Bachelor's degree,None,None
Construction Managers,"Construction managers oversee activities concerned with the construction and maintenance of structures, facilities, and systems. They are involved in the conceptual development of a construction project and manage its organization, budget, schedule, and implementation.",Management,195000,84240,16.6,Associate's degree,More than 5 years,None
Construction Trades Supervisors and Extraction Workers,"First-Line supervisors of construction trades and extraction workers supervise, schedule, and coordinate the activities of construction or extraction workers. They read specifications, such as blueprints to determine construction requirements and plan procedures. ",Construction and Extraction,459830,59150,23.5,High school diploma or equivalent,More than 5 years,None
Construction/ Building Inspectors,"Inspectors in this field assess structures using engineering skills to check for structural soundness. They confirm structures are compliant with specifications, building codes, and other criteria. They may be general or work in one area such as electrical or plumbing.",Construction and Extraction,89620,53180,17.9,High school diploma or equivalent,More than 5 years,Moderate-term on-the-job training
Continuous Mining Machine Operators,"Mining machine operators lead crews in determining locations for holes and channels to be cut and supervising those who lay tracks to those areas. They operate and repair mining machinery, including those that rip coal, metal and non-metal ores from the mine.",Construction and Extraction,12280,50620,0.4,High school diploma or equivalent,None,Moderate-term on-the-job training
"Control and Valve Repairers, Except Mechanical Door","Mechanical regulating and controlling devices are installed, maintained, and repaired by these technicians. Those in this field also deal with hazardous field situations, test valves and regulators for leaks, and disassemble and repair parts as needed.","Installation, Maintenance, and Repair",42450,49600,-0.1,High school diploma or equivalent,None,Moderate-term on-the-job training
Cost Estimators,"Cost estimators collect and analyze data in order to estimate the costs of various projects for organizations. They give an estimate for time, money, resources, and labor required for manufacturing, construction projects, or services to aid management's decisions.",Business and Financial Operations,187730,58460,36.4,Bachelor's degree,None,None
"Counselors, All Other","Counselors are trained to give advice on personal, social, or psychological problems to people on many different levels. They are often specialized in different areas such as: school counselor, relationship counselor, Christian counselor, professional counselor, etc.",Community and Social Service,27140,42030,21.3,Master's degree,None,None
Court Reporters,"Court reporters are responsible for using equipment to accurately record all court proceedings, legislative assemblies, or committee meetings verbatim. Upon request, they provide judges or lawyers with transcripts and must file a copy with the court clerk's office.",Legal,18440,48530,14.1,Postsecondary non-degree award,None,Short-term on-the-job training
Crane and Tower Operators,Operators in this field operate mechanical and cable equipment to lift and transport heavy materials or machines. They inspect and clean equipment to ensure safe operation. They must also review daily work and deliveries in order to remain on schedule.,Transportation and Material Moving,41070,46460,15.7,Less than high school,1 to 5 years,Long-term on-the-job training
Credit Analysts,Credit analysts examine credit data and financial statements of individuals or firms to measure the degree of risk involved in extending credit or lending money. They develop reports with credit information for use in decision making. ,Business and Financial Operations,59140,60730,19.7,Bachelor's degree,None,None
"Criminal Justice and Law Enforcement Teachers, Postsecondary","Instructors in this field teach courses in criminal justice, corrections and law enforcement administration. They develop and deliver lectures on topics such as criminal law, defensive policing or investigative techniques. They also plan and evaluate curriculum.","Education, Training, and Library",14630,59480,17.4,Doctoral or professional degree,None,None
Curators,"Curators administer, plan, and organize the acquisition of storage and exhibition of collections of artwork, historic items, scientific specimens of museums or other institutions, and other collectables. They also write and review grant proposals and journal articles.","Education, Training, and Library",10340,48800,24.8,Master's degree,None,None
Database Administrators,"Database administrators are extremely tech-savvy and use their computer knowledge of database management systems in order to help organizations run smoothly. They also plan, coordinate, and implement security measures to safeguard the computer database.",Computer and Mathematical Occupations,108500,75190,30.6,Bachelor's degree,1 to 5 years,None
Dental Hygienists,"Dental hygienists clean teeth and examine areas such as the head, neck, and jaw for signs of possible oral disease. They maintain dental equipment, provide preventative dental care, and also educate patients on ways to improve and maintain good oral health.",Healthcare Practitioners and Technical Occupations,184110,69280,37.7,Associate's degree,None,None
"Dentists, General","Dentists examine, diagnose, and apply treatment to diseases, injuries, and malformations of teeth and gums. They treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth, as well as providing preventative care to patients.",Healthcare Practitioners and Technical Occupations,90950,142740,21.1,Doctoral or professional degree,None,Internship/residency
"Derrick Operators, Oil and Gas",Derrick operators of oil and gas rig derrick equipment to operate pumps and to assist in circulating of mud through a drill hole. Some tasks include inspection of derricks for flaws and for cleanliness for proper working conditions. They also repair pumps or mud tanks.,Construction and Extraction,19480,45220,9.3,Less than high school,None,Short-term on-the-job training
Detectives and Criminal Investigators,"Detectives and criminal investigators work to uphold Federal, State, or local laws. This includes police detectives, police identification and records officers, criminal investigators and special agents, immigration and customs inspectors, and intelligence analysts.",Protective Service,111930,71770,2.9,High school diploma or equivalent,1 to 5 years,Moderate-term on-the-job training
